locality
Sector II Salt Lake
Bagbazar
Bangur Park
Tala
Science City
FC Block Sector III
Sector III
Kankurgachi Main Road
Mominpore
Nepalgange
Hazra
Bondel Road
Khardah
Jorasanko
Bhojerhat
Russa Road South
Howrah Maidan
Aurobindo Park
Chinar park Rajharhat
Panchpota
Rajarhat Chowmatha
Hooghly Chinsurah
Nabapally
muchipara
Dakshindari
Reckjoani Hospital Road
Natagarh
Airport Area
Jagacha
Middleton street
Palta
Uttar Panchanna Gram
Srirampur
Lansdown
Chitpur
Rasapunja
Anandapally
Action Area III Of New Town Rajarhat
Thakurpukur Bazar
Rajarhat main road
Paschim Barisha
Beliaghata Baruipur Canning Road
Bansdroni Metro Station Road
Mali Panchghara
Jaffarpur Panchanantala
Tribeni
Kolupukur Panchanantala
Dharampur
Chotto Chandpur
Thakurpukur 3A Bus Stand
Banerjee Para Road
Mundapara
